Path,Path_Code,Level,Project,Type,Speech_Time,Notes
Dynamic Leadership,DL,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Dynamic Leadership,DL,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Dynamic Leadership,DL,5,High Performance Leadership,Elective (choose 1),Two 5-7 min speeches,With guidance committee
Effective Coaching,EC,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Effective Coaching,EC,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Effective Coaching,EC,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Effective Coaching,EC,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Effective Coaching,EC,2,Understanding Your Leadership Style,Required,5-7 min,
Effective Coaching,EC,2,Understanding Your Communication Style,Required,5-7 min,
Effective Coaching,EC,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Effective Coaching,EC,3,Reaching Consensus,Required,20-min consensus activity + 2-3 min closing (or 5-7 min speech),Lead group to consensus
Effective Coaching,EC,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Effective Coaching,EC,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Effective Coaching,EC,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Effective Coaching,EC,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Effective Coaching,EC,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Effective Coaching,EC,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Effective Coaching,EC,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Effective Coaching,EC,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Effective Coaching,EC,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Effective Coaching,EC,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Effective Coaching,EC,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Effective Coaching,EC,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Effective Coaching,EC,3,Active Listening,Elective (choose 2),No speech - serve as Topicsmaster,
Effective Coaching,EC,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Effective Coaching,EC,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Effective Coaching,EC,4,Improvement Through Positive Coaching,Required,5-7 min,Coach an individual outside meetings
Effective Coaching,EC,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Effective Coaching,EC,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Effective Coaching,EC,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Effective Coaching,EC,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Effective Coaching,EC,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Effective Coaching,EC,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Effective Coaching,EC,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Effective Coaching,EC,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Effective Coaching,EC,5,High Performance Leadership,Required,Two 5-7 min speeches,Team of 3+ and guidance committee (5+ meetings)
Effective Coaching,EC,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Effective Coaching,EC,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Effective Coaching,EC,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Effective Coaching,EC,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Effective Coaching,EC,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Effective Coaching,EC,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Engaging Humor,EH,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Engaging Humor,EH,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Engaging Humor,EH,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Engaging Humor,EH,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Engaging Humor,EH,2,Connect with Your Audience,Required,5-7 min,Topic unfamiliar to majority of audience
Engaging Humor,EH,2,Know Your Sense of Humor,Required,5-7 min,Uses Story Collection tool
Engaging Humor,EH,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Engaging Humor,EH,3,Engage Your Audience with Humor,Required,5-7 min,Well-organized humorous speech
Engaging Humor,EH,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Engaging Humor,EH,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Engaging Humor,EH,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Engaging Humor,EH,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Engaging Humor,EH,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Engaging Humor,EH,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Engaging Humor,EH,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Engaging Humor,EH,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Engaging Humor,EH,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Engaging Humor,EH,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Engaging Humor,EH,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Engaging Humor,EH,3,Active Listening,Elective (choose 2),No speech - serve as Topicsmaster,
Engaging Humor,EH,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Engaging Humor,EH,4,The Power of Humor in an Impromptu Speech,Required,5-7 min,Respond to unexpected situations with humor
Engaging Humor,EH,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Engaging Humor,EH,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Engaging Humor,EH,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Engaging Humor,EH,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Engaging Humor,EH,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Engaging Humor,EH,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Engaging Humor,EH,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Engaging Humor,EH,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Engaging Humor,EH,5,Deliver Your Message with Humor,Required,Keynote-length humorous speech,Well-developed humor with strong message
Engaging Humor,EH,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Engaging Humor,EH,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Engaging Humor,EH,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Engaging Humor,EH,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Engaging Humor,EH,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Engaging Humor,EH,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Engaging Humor,EH,5,High Performance Leadership,Elective (choose 1),Two 5-7 min speeches,With guidance committee
Innovative Planning,IP,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Innovative Planning,IP,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Innovative Planning,IP,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Innovative Planning,IP,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Innovative Planning,IP,2,Understanding Your Leadership Style,Required,5-7 min,
Innovative Planning,IP,2,Connect with Your Audience,Required,5-7 min,
Innovative Planning,IP,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Innovative Planning,IP,3,Present a Proposal,Required,5-7 min,Proposal to improve area of life
Innovative Planning,IP,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Innovative Planning,IP,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Innovative Planning,IP,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Innovative Planning,IP,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Innovative Planning,IP,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Innovative Planning,IP,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Innovative Planning,IP,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Innovative Planning,IP,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Innovative Planning,IP,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Innovative Planning,IP,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Innovative Planning,IP,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Innovative Planning,IP,3,Active Listening,Elective (choose 2),No speech - serve as Topicsmaster,
Innovative Planning,IP,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Innovative Planning,IP,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Innovative Planning,IP,4,Manage Projects Successfully,Required,2-3 min plan + 5-7 min experience,"Team of 3-4, complete a project"
Innovative Planning,IP,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Innovative Planning,IP,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Innovative Planning,IP,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Innovative Planning,IP,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Innovative Planning,IP,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Innovative Planning,IP,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Innovative Planning,IP,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Innovative Planning,IP,5,High Performance Leadership,Required,Two 5-7 min speeches,
Innovative Planning,IP,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Innovative Planning,IP,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Innovative Planning,IP,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Innovative Planning,IP,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Innovative Planning,IP,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Innovative Planning,IP,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Leadership Development,LD,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Leadership Development,LD,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Leadership Development,LD,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Leadership Development,LD,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Leadership Development,LD,2,Managing Time,Required,5-7 min,Time & Task Log
Leadership Development,LD,2,Understanding Your Leadership Style,Required,5-7 min,
Leadership Development,LD,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Leadership Development,LD,3,Planning and Implementing,Required,2-3 min report OR 5-7 min speech,Small-scale project you plan & complete
Leadership Development,LD,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Leadership Development,LD,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Leadership Development,LD,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Leadership Development,LD,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Leadership Development,LD,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Leadership Development,LD,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Leadership Development,LD,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Leadership Development,LD,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Leadership Development,LD,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Leadership Development,LD,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Leadership Development,LD,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Leadership Development,LD,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Leadership Development,LD,3,Active Listening,Elective (choose 2),No speech - serve as Topicsmaster,
Leadership Development,LD,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Leadership Development,LD,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Leadership Development,LD,4,Leading Your Team,Required,5-7 min,"Build team of 2-4, complete a project"
Leadership Development,LD,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Leadership Development,LD,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Leadership Development,LD,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Leadership Development,LD,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Leadership Development,LD,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Leadership Development,LD,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Leadership Development,LD,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Leadership Development,LD,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Leadership Development,LD,5,Manage Successful Events,Required,5-7 min,"Plan, coordinate, complete an event"
Leadership Development,LD,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Leadership Development,LD,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Leadership Development,LD,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Leadership Development,LD,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Leadership Development,LD,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Leadership Development,LD,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Leadership Development,LD,5,High Performance Leadership,Elective (choose 1),Two 5-7 min speeches,With guidance committee
Motivational Strategies,MS,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Motivational Strategies,MS,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Motivational Strategies,MS,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Motivational Strategies,MS,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Motivational Strategies,MS,2,Active Listening,Required,No speech - serve as Topicsmaster,Comment on each Table Topics speaker
Motivational Strategies,MS,2,Understanding Your Communication Style,Required,5-7 min,
Motivational Strategies,MS,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Motivational Strategies,MS,3,Understanding Emotional Intelligence,Required,5-7 min,2-week emotion journal
Motivational Strategies,MS,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Motivational Strategies,MS,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Motivational Strategies,MS,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Motivational Strategies,MS,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Motivational Strategies,MS,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Motivational Strategies,MS,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Motivational Strategies,MS,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Motivational Strategies,MS,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Motivational Strategies,MS,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Motivational Strategies,MS,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Motivational Strategies,MS,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Motivational Strategies,MS,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Motivational Strategies,MS,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Motivational Strategies,MS,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Motivational Strategies,MS,4,Motivate Others,Required,5-7 min,Team of 3-4 to benefit your club
Motivational Strategies,MS,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Motivational Strategies,MS,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Motivational Strategies,MS,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Motivational Strategies,MS,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Motivational Strategies,MS,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Motivational Strategies,MS,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Motivational Strategies,MS,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Motivational Strategies,MS,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Motivational Strategies,MS,5,Team Building,Required,2-3 min report + 5-7 min speech,Design & host team-building event
Motivational Strategies,MS,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Motivational Strategies,MS,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Motivational Strategies,MS,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Motivational Strategies,MS,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Motivational Strategies,MS,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Motivational Strategies,MS,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Motivational Strategies,MS,5,High Performance Leadership,Elective (choose 1),Two 5-7 min speeches,With guidance committee
Persuasive Influence,PI,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Persuasive Influence,PI,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Persuasive Influence,PI,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Persuasive Influence,PI,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Persuasive Influence,PI,2,Active Listening,Required,No speech - serve as Topicsmaster,
Persuasive Influence,PI,2,Understanding Your Leadership Style,Required,5-7 min,
Persuasive Influence,PI,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Persuasive Influence,PI,3,Understanding Conflict Resolution,Required,5-7 min,Conflict resolution video activity
Persuasive Influence,PI,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Persuasive Influence,PI,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Persuasive Influence,PI,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Persuasive Influence,PI,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Persuasive Influence,PI,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Persuasive Influence,PI,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Persuasive Influence,PI,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Persuasive Influence,PI,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Persuasive Influence,PI,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Persuasive Influence,PI,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Persuasive Influence,PI,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Persuasive Influence,PI,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Persuasive Influence,PI,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Persuasive Influence,PI,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Persuasive Influence,PI,4,Leading in Difficult Situations,Required,5-7 min speech + impromptu (15-20 min total),Plan disruptions from club members
Persuasive Influence,PI,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Persuasive Influence,PI,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Persuasive Influence,PI,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Persuasive Influence,PI,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Persuasive Influence,PI,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Persuasive Influence,PI,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Persuasive Influence,PI,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Persuasive Influence,PI,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Persuasive Influence,PI,5,High Performance Leadership,Required,Two 5-7 min speeches,
Persuasive Influence,PI,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Persuasive Influence,PI,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Persuasive Influence,PI,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Persuasive Influence,PI,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
